question,study_area,option_a,option_b,option_c,optiopn_d,correct_answer,incorrect_answer_response
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,An ice cube clink,A cork sighing,,C,
What is 'carbonic maceration' known for?,Styles,"Juicy, low-tannin reds",High tannin whites,Fortified wines,,A,
Love at first sniff smells like…,Styles,Tire rubber,Wet dog,Wild strawberries,,C,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A loud cork pop,A strict rulebook,,A,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,,A,
What is 'carbonic maceration' known for?,Styles,"Juicy, low-tannin reds",High tannin whites,Fortified wines,,A,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Prozit!,Skål!,,A,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Al dente in spirit: lively,Boiling hot,,B,
Chianti is dominated by which grape?,Regions and Appellations,Nebbiolo,Sangiovese,Aglianico,,B,
What is 'carbonic maceration' known for?,Styles,High tannin whites,"Juicy, low-tannin reds",Fortified wines,,B,
What is the main grape in Brunello di Montalcino?,Grapes,Barbera,Nebbiolo,Sangiovese,,C,
Which wine has highest typical tannin?,Styles,Muscadet,Barolo,Beaujolais Nouveau,,B,
Vouvray is made from…,Regions and Appellations,Sauvignon Blanc,Chenin Blanc,Viognier,,B,
What is typical of Rosé production?,Styles,Limited skin contact,Full skin maceration,No skins used at all,,A,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Sangiovese,Nebbiolo,,B,
What is 'carbonic maceration' known for?,Styles,Fortified wines,"Juicy, low-tannin reds",High tannin whites,,B,
Which country created Carmenère revival?,Grapes,Chile,Uruguay,Argentina,,A,
What flavor can oak impart?,Styles,Lime leaf,Vanilla,Black pepper only,,B,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Veneto,Tuscany,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Vintage Madeira,Albariño,,C,
His advice for opening night nerves?,Styles,Decant for 6 hours,Hide the bottle,Pop a Prosecco,,C,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Always fortified,Dry to sweet with high acidity,Always sparkling,,B,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Clean citrus,Fresh flowers,,A,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Syrah,Cabernet Sauvignon,Merlot,,B,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,,B,
Tannins in wine come mostly from…,Styles,Filtration,Fermentation temperature,"Skins, seeds, and oak",,C,
His advice for opening night nerves?,Styles,Decant for 6 hours,Hide the bottle,Pop a Prosecco,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Leftover Vermentino,Mulled wine,,B,
Which region is famous for Malbec?,Grapes,Rioja,Mendoza,Burgundy,,B,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Pinot Noir,Tequila… not wine!,,B,
What is the main grape in Brunello di Montalcino?,Grapes,Barbera,Sangiovese,Nebbiolo,,B,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Syrah,Cabernet Sauvignon,Merlot,,B,
Giuseppe’s favorite sound in a quiet room?,Styles,An ice cube clink,A microwave beep,A cork sighing,,C,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Boiling hot,Al dente in spirit: lively,,C,
Furmint is a key variety in…,Grapes,Vinho Verde,Tokaj,Rioja,,B,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A burnt espresso,A flat cola,,A,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Central Otago,Marlborough,Hawke's Bay,,B,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
Champagne sweetness: which is driest?,Regions and Appellations,Demi-sec,Brut Nature,Sec,,B,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Nebbiolo,Sangiovese,,C,
Sherry can be biologically aged under…,Styles,Flor,Lees,Botrytis,,A,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Sauternes,Vintage Port,,A,
His advice for opening night nerves?,Styles,Pop a Prosecco,Hide the bottle,Decant for 6 hours,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Gazpacho,Steak tartare,,A,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A burnt espresso,A bright rosé,,C,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A loud cork pop,A strict rulebook,,A,
Sancerre is typically made from which grape?,Grapes,Sauvignon Blanc,Chardonnay,Chenin Blanc,,A,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Only in Champagne,Do what you love,,C,
Orange wine is made by…,Styles,Blending red/white,Using orange fruit,Skin-contact white grapes,,C,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Tuscany,Veneto,,A,
Sauternes is primarily made from…,Regions and Appellations,Sauvignon Gris,Sémillon,Gewürztraminer,,B,
What does Giuseppe call tannins?,Styles,Its passport,Its resume,The handshake of a wine,,C,
Orange wine is made by…,Styles,Skin-contact white grapes,Using orange fruit,Blending red/white,,A,
What food is a friendly match with Pinot Noir?,Grapes,Caramel flan,Spicy curry,Salmon,,C,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Petrol/honey,Banana,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Hawke's Bay,Marlborough,Central Otago,,B,
What pairs with pizza on a Tuesday?,Pairings,Vintage Port,Sauternes,Sangiovese,,C,
What does Giuseppe call tannins?,Styles,Its passport,The handshake of a wine,Its resume,,B,
Love at first sniff smells like…,Styles,Wet dog,Wild strawberries,Tire rubber,,B,
Champagne sweetness: which is driest?,Regions and Appellations,Demi-sec,Sec,Brut Nature,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A 40-year Port,A cheerful Chianti,A brooding Amarone,,B,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Barolo,Amontillado,,A,
Sherry can be biologically aged under…,Styles,Lees,Botrytis,Flor,,C,
Orange wine is made by…,Styles,Using orange fruit,Blending red/white,Skin-contact white grapes,,C,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Only in Champagne,Do what you love,,C,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its passport,Its resume,,A,
Which wine has highest typical tannin?,Styles,Barolo,Muscadet,Beaujolais Nouveau,,A,
"If pasta is al dente, wine should be…",Pairings,Flat and sleepy,Boiling hot,Al dente in spirit: lively,,C,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
What does 'riserva' (Italy) generally signal?,Styles,Higher sweetness,Lower alcohol,Longer aging,,C,
Rioja is primarily associated with which grape?,Regions and Appellations,Garnacha,Tempranillo,Mazuelo,,B,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A flat cola,A burnt espresso,,A,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Gewürztraminer,Sauvignon Gris,,A,
What does decanting an old red help with?,Styles,Raising alcohol,Sediment separation,Adding sugar,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
What flavor can oak impart?,Styles,Black pepper only,Vanilla,Lime leaf,,B,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Petrol/honey,Banana,,B,
What’s the secret ingredient in hospitality?,Pairings,A strict rulebook,A loud cork pop,A generous pour,,C,
"If pasta is al dente, wine should be…",Pairings,Al dente in spirit: lively,Flat and sleepy,Boiling hot,,A,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Fresh flowers,Clean citrus,,A,
Giuseppe’s cure for a dreary day?,Styles,A burnt espresso,A bright rosé,A flat cola,,B,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Only in Champagne,Do what you love,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Demi-sec,Sec,Brut Nature,,C,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Do what you love,Never ever!,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Pinotage,Touriga Nacional,Grenache,,C,
Giuseppe’s travel essential?,Styles,Fondue set,Spare tie,Corkscrew,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,An ice cube clink,A cork sighing,A microwave beep,,B,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Skål!,Salute!,,C,
Vouvray is made from…,Regions and Appellations,Viognier,Chenin Blanc,Sauvignon Blanc,,B,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Veneto,Tuscany,,A,
Giuseppe’s travel essential?,Styles,Corkscrew,Spare tie,Fondue set,,A,
Which climate tends to give higher acidity?,Styles,Arid desert,Cool climate,Hot climate,,B,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Merlot,Syrah,Cabernet Sauvignon,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A 40-year Port,A brooding Amarone,A cheerful Chianti,,C,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
Prosecco uses which production method?,Classifications,Solera system,Traditional method,Tank (Charmat),,C,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Gazpacho,Potato chips,Steak tartare,,B,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,,B,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Nebbiolo,Sangiovese,,C,
What’s the best pairing for laughter?,Pairings,Only bottled water,Silence and spreadsheets,Good friends and good wine,,C,
Which region produces Chablis?,Regions and Appellations,Burgundy,Loire Valley,Rhone,,A,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Central Otago,Marlborough,Hawke's Bay,,B,
What aroma is classic in aged Riesling?,Grapes,Banana,Peppercorn,Petrol/honey,,C,
What does Giuseppe say the swirl is for?,Styles,Letting aromas dance,Hypnotizing your date,Counting the legs,,A,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Pinot Noir,Syrah,,A,
Which region produces Chablis?,Regions and Appellations,Loire Valley,Burgundy,Rhone,,B,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Only in Champagne,Do what you love,,C,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Pinot Noir,Tequila… not wine!,,B,
Grüner Veltliner often shows…,Grapes,Coffee,White pepper,Coconut,,B,
Which grape is classic in Châteauneuf-du-Pape?,Grapes,Grenache,Touriga Nacional,Pinotage,,A,
Which region is famous for Malbec?,Grapes,Burgundy,Rioja,Mendoza,,C,
Giuseppe’s rule on ice in wine?,Styles,Do what you love,Never ever!,Only in Champagne,,A,
Provence Rosé is usually…,Regions and Appellations,Pale and dry,Deep and sweet,Fortified,,A,
