question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What is the base wine style of Port?,Unoaked white,Fortified sweet red,Dry sparkling,Rosé,B,Close! Swirl the glass and give it another go.,Styles
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Port,B,Close! Swirl the glass and give it another go.,Pairings
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,Pinot Noir,A,Close! Swirl the glass and give it another go.,Classifications
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Vouvray is made from…,Viognier,Sauvignon Blanc,Chenin Blanc,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What pairs with pizza on a Tuesday?,Sauternes,Vintage Port,Sangiovese,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Champagne sweetness: which is driest?,Sec,Demi-sec,Brut Nature,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,Muscadet,C,Close! Swirl the glass and give it another go.,Pairings
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Chianti is dominated by which grape?,Nebbiolo,Sangiovese,Aglianico,Port,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which climate tends to give higher acidity?,Cool climate,Hot climate,Arid desert,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A cheerful Chianti,A brooding Amarone,Prosecco,B,Close! Swirl the glass and give it another go.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
Rioja is primarily associated with which grape?,Mazuelo,Tempranillo,Garnacha,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Barolo,B,Close! Swirl the glass and give it another go.,Grapes
"When the pizza comes, he says…",Bring the Chianti!,Open that Port!,Fetch the Sauternes!,Sherry,A,Close! Swirl the glass and give it another go.,Pairings
Where is Priorat?,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",Port,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe call tannins?,The handshake of a wine,Its passport,Its resume,Muscadet,A,Close! Swirl the glass and give it another go.,Styles
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,Rosé,A,Close! Swirl the glass and give it another go.,Styles
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,Pinot Noir,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What does Giuseppe say the swirl is for?,Letting aromas dance,Counting the legs,Hypnotizing your date,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe say the swirl is for?,Counting the legs,Letting aromas dance,Hypnotizing your date,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Only in Champagne,Never ever!,Do what you love,Sherry,C,Close! Swirl the glass and give it another go.,Styles
Prosecco uses which production method?,Traditional method,Solera system,Tank (Charmat),Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Classifications
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Albariño,A,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What flavor can oak impart?,Vanilla,Black pepper only,Lime leaf,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What pairs with pizza on a Tuesday?,Sauternes,Sangiovese,Vintage Port,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What pairs with pizza on a Tuesday?,Sauternes,Vintage Port,Sangiovese,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Pairings
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Which region is famous for Malbec?,Burgundy,Mendoza,Rioja,Prosecco,B,Close! Swirl the glass and give it another go.,Grapes
His advice for opening night nerves?,Pop a Prosecco,Hide the bottle,Decant for 6 hours,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,Port,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,Port,A,Close! Swirl the glass and give it another go.,Pairings
The wine for dancing in the kitchen?,Lambrusco,Amontillado,Barolo,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which country created Carmenère revival?,Uruguay,Chile,Argentina,Cava,B,Close! Swirl the glass and give it another go.,Grapes
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,Cava,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What’s the best pairing for laughter?,Silence and spreadsheets,Good friends and good wine,Only bottled water,Cava,B,Close! Swirl the glass and give it another go.,Pairings
Which country created Carmenère revival?,Chile,Uruguay,Argentina,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,Cava,C,Close! Swirl the glass and give it another go.,Styles
What is the base wine style of Port?,Dry sparkling,Fortified sweet red,Unoaked white,Muscadet,B,Close! Swirl the glass and give it another go.,Styles
Grüner Veltliner often shows…,White pepper,Coconut,Coffee,Cava,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Which climate tends to give higher acidity?,Cool climate,Arid desert,Hot climate,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Furmint is a key variety in…,Tokaj,Rioja,Vinho Verde,Sherry,A,Close! Swirl the glass and give it another go.,Grapes
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Classifications
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Marlborough,Central Otago,Cava,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What aroma is classic in aged Riesling?,Banana,Peppercorn,Petrol/honey,Barolo,C,Close! Swirl the glass and give it another go.,Grapes
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which toast wins Giuseppe’s heart?,Salute!,Skål!,Prozit!,Port,A,Close! Swirl the glass and give it another go.,Pairings
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,Cava,B,Close! Swirl the glass and give it another go.,Regions and Appellations
"For beach days, Giuseppe brings…",Vintage Madeira,Albariño,Hot mulled wine,Sauternes,B,Close! Swirl the glass and give it another go.,Pairings
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,Muscadet,C,Not quite—Giuseppe says take another sip and try again.,Styles
What glass suits full-bodied reds?,Coupe,Flute,Large bowl,Barolo,C,Close! Swirl the glass and give it another go.,Styles
What is 'botrytis' known for in wine?,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Mulled wine,Leftover Vermentino,Warm Merlot,Prosecco,B,Close! Swirl the glass and give it another go.,Pairings
Which region produces Chablis?,Rhone,Burgundy,Loire Valley,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,Muscadet,C,Close! Swirl the glass and give it another go.,Pairings
What is 'botrytis' known for in wine?,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s favorite sound in a quiet room?,A cork sighing,An ice cube clink,A microwave beep,Cava,A,Close! Swirl the glass and give it another go.,Styles
What does Giuseppe say the swirl is for?,Letting aromas dance,Counting the legs,Hypnotizing your date,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Sauternes,B,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always fortified,Always sparkling,Sherry,A,Close! Swirl the glass and give it another go.,Regions and Appellations
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Pairings
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Most Lambrusco is…,Still white,Fortified rosé,Lightly sparkling red,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Muscadet,A,Close! Swirl the glass and give it another go.,Styles
The wine for dancing in the kitchen?,Amontillado,Barolo,Lambrusco,Muscadet,C,Close! Swirl the glass and give it another go.,Pairings
Alsace Grand Cru is typically…,Fortified dessert reds,Single-varietal whites,Red blends,Prosecco,B,Close! Swirl the glass and give it another go.,Classifications
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Sauternes is primarily made from…,Sauvignon Gris,Gewürztraminer,Sémillon,Pinot Noir,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Albariño is a specialty of which Spanish region?,Priorat,Rías Baixas,Ribera del Duero,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which country created Carmenère revival?,Chile,Uruguay,Argentina,Cava,A,Close! Swirl the glass and give it another go.,Grapes
Furmint is a key variety in…,Vinho Verde,Rioja,Tokaj,Pinot Noir,C,Close! Swirl the glass and give it another go.,Grapes
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Albariño is a specialty of which Spanish region?,Ribera del Duero,Rías Baixas,Priorat,Port,B,Close! Swirl the glass and give it another go.,Styles
Rioja is primarily associated with which grape?,Garnacha,Mazuelo,Tempranillo,Sauternes,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,Barolo,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What pairs with pizza on a Tuesday?,Vintage Port,Sangiovese,Sauternes,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Pairings
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Rosé,A,Close! Swirl the glass and give it another go.,Styles
Rioja is primarily associated with which grape?,Tempranillo,Mazuelo,Garnacha,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which climate tends to give higher acidity?,Hot climate,Arid desert,Cool climate,Sherry,C,Close! Swirl the glass and give it another go.,Styles
Which wine has highest typical tannin?,Muscadet,Beaujolais Nouveau,Barolo,Cava,C,Close! Swirl the glass and give it another go.,Styles
Sancerre is typically made from which grape?,Chenin Blanc,Chardonnay,Sauvignon Blanc,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What is typical of Rosé production?,Full skin maceration,No skins used at all,Limited skin contact,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
Most Lambrusco is…,Still white,Fortified rosé,Lightly sparkling red,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What aroma is classic in aged Riesling?,Banana,Peppercorn,Petrol/honey,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What is 'carbonic maceration' known for?,Fortified wines,High tannin whites,"Juicy, low-tannin reds",Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
Sherry can be biologically aged under…,Lees,Botrytis,Flor,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,Chianti Classico,C,Close! Swirl the glass and give it another go.,Grapes
Chianti is dominated by which grape?,Nebbiolo,Sangiovese,Aglianico,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"When the pizza comes, he says…",Bring the Chianti!,Open that Port!,Fetch the Sauternes!,Sauternes,A,Close! Swirl the glass and give it another go.,Pairings
Which grape makes Barolo?,Montepulciano,Nebbiolo,Sangiovese,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always sparkling,Always fortified,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
‘Sur lie’ aging means aging on the…,Grape skins,Lees (dead yeast),Stems,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Furmint is a key variety in…,Vinho Verde,Rioja,Tokaj,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,Barolo,A,Close! Swirl the glass and give it another go.,Styles
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,Rosé,C,Close! Swirl the glass and give it another go.,Styles
What glass suits full-bodied reds?,Large bowl,Coupe,Flute,Rosé,A,Close! Swirl the glass and give it another go.,Styles
What does decanting an old red help with?,Adding sugar,Raising alcohol,Sediment separation,Cava,C,Close! Swirl the glass and give it another go.,Styles
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
Tannins in wine come mostly from…,Filtration,Fermentation temperature,"Skins, seeds, and oak",Chianti Classico,C,Close! Swirl the glass and give it another go.,Styles
Rioja is primarily associated with which grape?,Mazuelo,Tempranillo,Garnacha,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Grapes
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Sherry can be biologically aged under…,Botrytis,Lees,Flor,Prosecco,C,Close! Swirl the glass and give it another go.,Styles
Which wine is typically un-oaked?,Napa Chardonnay,Reserva Rioja,Muscadet,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Warm Merlot,Mulled wine,Sauternes,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
Albariño is a specialty of which Spanish region?,Priorat,Rías Baixas,Ribera del Duero,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,Rosé,C,Close! Swirl the glass and give it another go.,Styles
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,Port,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Sancerre is typically made from which grape?,Chardonnay,Sauvignon Blanc,Chenin Blanc,Pinot Noir,B,Close! Swirl the glass and give it another go.,Grapes
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Where is Priorat?,"Puglia, Italy","Alentejo, Portugal","Catalonia, Spain",Barolo,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
What’s the secret ingredient in hospitality?,A strict rulebook,A generous pour,A loud cork pop,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What is the classic pairing for oysters?,Muscadet or Champagne,Amarone,Cabernet Sauvignon,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,Prosecco,B,Close! Swirl the glass and give it another go.,Grapes
Provence Rosé is usually…,Deep and sweet,Fortified,Pale and dry,Rosé,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Sauternes is primarily made from…,Gewürztraminer,Sauvignon Gris,Sémillon,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,Albariño,B,Close! Swirl the glass and give it another go.,Grapes
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,Pinot Noir,B,Close! Swirl the glass and give it another go.,Grapes
What’s the secret ingredient in hospitality?,A strict rulebook,A generous pour,A loud cork pop,Muscadet,B,Close! Swirl the glass and give it another go.,Pairings
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which region is famous for Malbec?,Mendoza,Burgundy,Rioja,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Grapes
What does 'Brut' indicate on sparkling wine?,Dry style,Rosé style,Sweet style,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Classifications
What is the classic pairing for oysters?,Muscadet or Champagne,Cabernet Sauvignon,Amarone,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always sparkling,Always fortified,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Regions and Appellations
What does 'riserva' (Italy) generally signal?,Lower alcohol,Longer aging,Higher sweetness,Barolo,B,Close! Swirl the glass and give it another go.,Styles
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,Port,C,Close! Swirl the glass and give it another go.,Classifications
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What is the base wine style of Port?,Fortified sweet red,Unoaked white,Dry sparkling,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
What is the classic pairing for oysters?,Cabernet Sauvignon,Amarone,Muscadet or Champagne,Port,C,Close! Swirl the glass and give it another go.,Pairings
What is the base wine style of Port?,Dry sparkling,Fortified sweet red,Unoaked white,Cava,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which climate tends to give higher acidity?,Cool climate,Hot climate,Arid desert,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Styles
"For beach days, Giuseppe brings…",Albariño,Vintage Madeira,Hot mulled wine,Sauternes,A,Close! Swirl the glass and give it another go.,Pairings
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,Prosecco,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,Albariño,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Beaujolais is mostly made from which grape?,Pinot Noir,Gamay,Syrah,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Grapes
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A cheerful Chianti,A 40-year Port,Cava,B,Close! Swirl the glass and give it another go.,Pairings
What does 'riserva' (Italy) generally signal?,Higher sweetness,Longer aging,Lower alcohol,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Which Italian region is Barbaresco from?,Tuscany,Veneto,Piedmont,Chianti Classico,C,Close! Swirl the glass and give it another go.,Regions and Appellations
"For beach days, Giuseppe brings…",Albariño,Hot mulled wine,Vintage Madeira,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What is typical of Rosé production?,No skins used at all,Full skin maceration,Limited skin contact,Muscadet,C,Not quite—Giuseppe says take another sip and try again.,Styles
Orange wine is made by…,Skin-contact white grapes,Using orange fruit,Blending red/white,Albariño,A,Close! Swirl the glass and give it another go.,Styles
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",Barolo,B,Close! Swirl the glass and give it another go.,Styles
Alsace Grand Cru is typically…,Single-varietal whites,Fortified dessert reds,Red blends,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,Albariño,A,Close! Swirl the glass and give it another go.,Styles
What is the classic pairing for oysters?,Cabernet Sauvignon,Amarone,Muscadet or Champagne,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
Grüner Veltliner often shows…,White pepper,Coffee,Coconut,Chianti Classico,A,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
Aglianico is most associated with…,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,Prosecco,C,Close! Swirl the glass and give it another go.,Grapes
Beaujolais is mostly made from which grape?,Pinot Noir,Syrah,Gamay,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Kabinett Riesling,Silvaner Trocken,Port,B,Not quite—Giuseppe says take another sip and try again.,Styles
What pairs with pizza on a Tuesday?,Sauternes,Sangiovese,Vintage Port,Cava,B,Close! Swirl the glass and give it another go.,Pairings
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,Port,C,Not quite—Giuseppe says take another sip and try again.,Pairings
